[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036164s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.046546s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001824s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001921s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.063572s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.063673s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.004782s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.013211s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000991s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001193s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.020449s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001196s ]
[ 2012-12-11T09:14:07+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001280s ]
[ 2012-12-11T09:14:08+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:14:08+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001117s ]
[ 2012-12-11T09:14:08+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001229s ]
