[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.052820s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.063210s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.006122s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.006220s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.082429s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.082537s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.011360s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.013219s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000962s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001192s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.026992s ]
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T09:10:45+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001298s ]
